GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
r43ples,de.tud.plt.r43ples.iohelper,ResourceManagement,90,24,0,2,4,1,4,4,4,3
r43ples,de.tud.plt.r43ples.iohelper,JenaModelManagement,305,294,0,4,9,23,5,10,5,8
r43ples,de.tud.plt.r43ples.core,ThreeWayMergeCommitDraft,1910,4111,24,70,14,212,27,32,3,9
r43ples,de.tud.plt.r43ples.core,HeaderInformation,187,356,1,7,0,25,4,9,3,6
r43ples,de.tud.plt.r43ples.core,RevisionManagement,963,1151,18,22,16,69,21,24,3,22
r43ples,de.tud.plt.r43ples.core,CommitDraft,407,616,4,10,4,44,6,19,3,15
r43ples,de.tud.plt.r43ples.core,RevisionDraft,476,960,4,10,0,67,7,18,3,15
r43ples,de.tud.plt.r43ples.core,FastForwardMergeCommitDraft,213,520,1,3,0,30,4,7,3,6
r43ples,de.tud.plt.r43ples.core,PickCommitDraft,970,911,10,8,24,56,12,8,4,7
r43ples,de.tud.plt.r43ples.core,R43plesCore,650,653,6,10,16,45,9,17,5,13
r43ples,de.tud.plt.r43ples.core,MergeTypes,81,63,1,1,0,2,6,3,5,3
r43ples,de.tud.plt.r43ples.core,InitialCommitDraft,340,647,3,5,2,38,6,8,3,7
r43ples,de.tud.plt.r43ples.core,R43plesCoreSingleton,88,83,0,4,2,5,4,5,4,3
r43ples,de.tud.plt.r43ples.core,MergeCommitDraft,940,1358,26,32,9,80,28,22,4,16
r43ples,de.tud.plt.r43ples.core,MergeActions,81,63,1,1,0,2,6,3,5,3
r43ples,de.tud.plt.r43ples.core,ReferenceCreationCommitDraft,573,954,4,16,4,58,7,13,3,7
r43ples,de.tud.plt.r43ples.core,UpdateCommitDraft,845,1886,5,31,2,112,8,22,3,9
r43ples,de.tud.plt.r43ples.triplestoreInterface,TripleStoreInterfaceSingleton,305,218,6,6,7,14,8,6,4,4
r43ples,de.tud.plt.r43ples.triplestoreInterface,VirtuosoInterface,137,0,2,0,43,0,11,0,10,0
r43ples,de.tud.plt.r43ples.triplestoreInterface,TripleStoreInterface,629,861,8,24,10,49,11,16,4,7
r43ples,de.tud.plt.r43ples.triplestoreInterface,HttpInterface,234,0,6,0,61,0,16,0,13,0
r43ples,de.tud.plt.r43ples.triplestoreInterface,JenaTDBInterface,476,565,2,4,8,50,6,11,4,10
r43ples,de.tud.plt.r43ples.revisionTree,Revision,286,0,2,0,15,0,13,0,12,0
r43ples,de.tud.plt.r43ples.revisionTree,Tag,66,0,2,0,2,0,7,0,6,0
r43ples,de.tud.plt.r43ples.revisionTree,Commit,462,614,7,15,6,38,10,20,3,16
r43ples,de.tud.plt.r43ples.revisionTree,Reference,131,129,2,2,2,10,6,6,4,6
r43ples,de.tud.plt.r43ples.revisionTree,StructuredTree,630,947,5,21,8,57,8,18,3,10
r43ples,de.tud.plt.r43ples.revisionTree,Branch,46,54,1,1,0,4,4,4,3,4
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,PatchGroup,195,0,2,0,10,0,11,0,10,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,HighLevelChangeRenaming,195,0,2,0,10,0,11,0,10,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,HighLevelChangeTableRow,591,0,2,0,34,0,23,0,22,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,DifferenceModel,207,0,2,0,10,0,11,0,10,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,Patch,393,0,2,0,22,0,17,0,16,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,DifferenceGroup,464,0,2,0,26,0,19,0,18,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,HighLevelChangeModel,232,0,2,0,12,0,12,0,11,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,Difference,573,0,2,0,33,0,21,0,20,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,Individual,50,0,2,0,1,0,7,0,6,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,Triple,327,0,2,0,18,0,15,0,14,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,HighLevelChangeTableModel,381,0,2,0,20,0,13,0,12,0
r43ples,de.tud.plt.r43ples.mergingUI.model.structure,MergeCommitModel,638,0,2,0,36,0,16,0,15,0
r43ples,de.tud.plt.r43ples.management,R43plesRequest,237,448,2,2,0,27,5,11,3,11
r43ples,de.tud.plt.r43ples.management,SparqlRewriter,928,1897,0,30,3,132,3,24,3,9
r43ples,de.tud.plt.r43ples.management,RevisionManagementOriginal,776,1289,5,19,10,79,9,22,4,15
r43ples,de.tud.plt.r43ples.management,GitRepositoryState,140,185,1,3,2,14,4,5,3,4
r43ples,de.tud.plt.r43ples.management,Config,266,456,0,6,1,36,4,7,4,4
r43ples,de.tud.plt.r43ples.optimization,PathCalculationSingleton,94,93,0,4,2,6,4,5,4,3
r43ples,de.tud.plt.r43ples.optimization,SimplePathCalculation,601,881,8,16,6,53,10,11,3,6
r43ples,de.tud.plt.r43ples,R43plesService.new Thread() {...},5,0,0,0,2,0,2,0,2,0
r43ples,de.tud.plt.r43ples,R43plesService,267,0,12,0,55,0,11,0,5,0
r43ples,de.tud.plt.r43ples.mergingUI.ui,MergingControl,1015,0,8,0,51,0,13,0,9,0
r43ples,de.tud.plt.r43ples.existentobjects,PickCommit,174,97,1,1,5,8,8,4,7,4
r43ples,de.tud.plt.r43ples.existentobjects,FastForwardMergeCommit,90,54,1,1,2,3,5,3,4,3
r43ples,de.tud.plt.r43ples.existentobjects,Tag,91,43,1,1,2,3,5,3,4,3
r43ples,de.tud.plt.r43ples.existentobjects,ReferenceCommit,191,65,1,1,6,5,8,3,7,3
r43ples,de.tud.plt.r43ples.existentobjects,MergeCommit,311,183,1,1,9,16,11,7,10,7
r43ples,de.tud.plt.r43ples.existentobjects,Revision,989,972,10,10,20,64,14,17,6,15
r43ples,de.tud.plt.r43ples.existentobjects,Commit,463,114,3,1,18,10,7,4,5,4
r43ples,de.tud.plt.r43ples.existentobjects,Path,122,127,1,1,2,11,5,5,4,5
r43ples,de.tud.plt.r43ples.existentobjects,UpdateCommit,179,77,1,1,5,6,7,4,6,4
r43ples,de.tud.plt.r43ples.existentobjects,InitialCommit,179,77,1,1,5,6,7,4,6,4
r43ples,de.tud.plt.r43ples.existentobjects,RevisionGraph,1573,1596,21,21,33,100,21,25,4,21
r43ples,de.tud.plt.r43ples.existentobjects,Reference,517,476,5,5,10,33,8,10,4,9
r43ples,de.tud.plt.r43ples.existentobjects,Branch,64,91,1,1,0,6,4,5,3,5
r43ples,de.tud.plt.r43ples.existentobjects,ThreeWayMergeCommit,90,54,1,1,2,3,5,3,4,3
r43ples,de.tud.plt.r43ples.visualisation,VisualisationTable,288,483,0,2,2,39,3,6,3,5
r43ples,de.tud.plt.r43ples.visualisation,TimeLineView,241,451,1,7,0,34,4,7,3,4
r43ples,de.tud.plt.r43ples.visualisation,MessagesTableView,961,1043,8,16,19,76,9,11,3,5
r43ples,de.tud.plt.r43ples.visualisation,CommitGraphView,896,1652,11,39,6,98,12,25,3,9
r43ples,de.tud.plt.r43ples.visualisation,VisualisationGraph,82,91,0,2,1,7,4,4,4,3
r43ples,de.tud.plt.r43ples.client,ConsoleClientArgs,0,17,0,0,0,5,0,1,0,1
r43ples,de.tud.plt.r43ples.client,R43plesArgs,0,6,0,0,0,2,0,1,0,1
r43ples,de.tud.plt.r43ples.client,ConsoleClient,78,159,7,3,17,27,6,3,2,2
r43ples,de.tud.plt.r43ples.webservice,Endpoint,1497,1566,15,29,36,100,17,26,4,17
r43ples,de.tud.plt.r43ples.webservice,Misc,555,1073,3,39,5,54,7,26,4,8
r43ples,de.tud.plt.r43ples.webservice,API,177,96,2,2,5,6,7,4,5,4
r43ples,de.tud.plt.r43ples.webservice,Configuration,460,0,10,0,19,0,14,0,9,0
r43ples,de.tud.plt.r43ples.webservice,ExceptionMapper,289,0,4,0,13,0,9,0,7,0
r43ples,de.tud.plt.r43ples.webservice,Merging,950,151,25,1,32,12,17,4,4,4
r43ples,de.tud.plt.r43ples.webservice,Debug,463,632,4,8,7,46,7,10,3,8
r43ples,de.tud.plt.r43ples.dataset,DataSetGenerationResult,34,34,1,1,0,2,4,3,3,3
r43ples,de.tud.plt.r43ples.dataset,DatasetGenerationManagement,325,178,0,2,10,9,7,5,7,4
r43ples,de.tud.plt.r43ples.dataset,SampleDataSet,1684,3295,0,2,1,274,4,11,4,10
r43ples,de.tud.plt.r43ples.exception,InternalErrorException,46,52,1,1,0,4,4,3,3,3
r43ples,de.tud.plt.r43ples.exception,QueryErrorException,34,30,1,1,0,2,4,3,3,3
r43ples,de.tud.plt.r43ples.exception,IdentifierAlreadyExistsException,64,0,2,0,2,0,7,0,6,0
r43ples,de.tud.plt.r43ples.exception,OutdatedException,46,67,1,1,0,4,4,3,3,3
r43ples,de.tud.plt.r43ples.mergingUI.management,ProcessManagement,2569,0,60,0,106,0,40,0,10,0
r43ples,de.tud.plt.r43ples.mergingUI,SDDTripleStateEnum,129,163,1,1,0,11,6,5,5,5
r43ples,de.tud.plt.r43ples.mergingUI,TripleObjectTypeEnum,144,0,2,0,2,0,9,0,8,0
r43ples,de.tud.plt.r43ples.mergingUI,MergeQueryTypeEnum,81,83,1,1,0,2,6,3,5,3
r43ples,de.tud.plt.r43ples.mergingUI,ResolutionStateEnum,154,0,2,0,2,0,9,0,8,0
